Bank,region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
NatWest,GB,O,30.618569387585445,25.630936265779074,24.282553793420053,24.39161404626421,24.248625530779744,25.59207260248823,26.346508500869895,34.18947111746275,44.02551015692307,0.0,25.646333001142043,31.796210294915273,22.610648931104496,24.08803598736085,22.629734923820127,27.120297234988644,27.14396143419372,21.19747845206726,27.478206920049814,28.37913115793541,26.954823198463238
NatWest,GB,P,176.92789293162656,142.15157896418597,107.94366910968574,92.92706887953865,100.62530918094879,157.2458809453167,119.68114648124595,190.43066758685387,143.40120504615382,0.0,143.84387327992536,105.3229498990594,41.427051779525264,137.697772389182,144.8546334259932,138.21700457357227,115.61627275809971,116.51353735673953,169.73573163248554,163.41603444221917,103.08812980156833
NatWest,GB,Q,582.1803220992153,494.81845157913494,439.7729724424633,408.1935901380768,419.62353937106496,526.8312481992753,459.9554190448761,662.2828314468245,690.9391705641021,0.0,512.213255545507,485.7208897375906,317.7382575440577,476.3293612495165,479.74489230841004,493.7700365455603,473.60241787671976,427.72446230656846,578.2199757579518,564.4559212434386,436.9655055525479
NatWest,GB,R,98.21977393333323,71.25751386372184,44.268082342033345,43.055258168279025,46.87763277087826,64.68133610190146,60.60371328689844,95.05141313931098,67.99830503076915,0.0,65.47988202881344,44.948047121660416,11.225128246072144,66.96803973606312,55.74637410590921,69.33162246231298,51.541086021812056,49.109911521610144,76.39317933032004,78.89787212443419,54.56657927065818
NatWest,GB,S,393.42764476435764,344.9168629275565,290.275491227355,269.88560455091726,287.33291034324475,360.39601913349674,318.4929546261154,456.8837362695484,455.70088529230776,0.0,356.4388510054996,326.61679862942935,204.92837244272167,328.08564977833913,329.42412250906006,344.4717552477111,339.1179103508753,283.72195741646334,400.99361280724474,398.8850742587959,303.47746989828016
NatWest,GB,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatWest,GB,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatWest,GR,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatWest,GR,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatWest,GR,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
