Bank,Sector,Geography,GBP m,EUR m
Bank V,"Agriculture, forestry and fishing",Other Western Europe,79.8711594,93.4492565
Bank V,"Agriculture, forestry and fishing",United States,88.34649529,103.3653995
Bank V,"Agriculture, forestry and fishing",Other countries,64.9708084,76.01584583
Bank V,Mining and quarrying,United States,14.59973495,17.08168989
Bank V,Mining and quarrying,Other countries,10.73677659,12.56202861
Bank V,Manufacturing,United Kingdom,8406.020794,9835.044329
Bank V,Manufacturing,Republic of Ireland,50.68333121,59.29949751
Bank V,Manufacturing,Other Western Europe,197.0489789,230.5473053
Bank V,Manufacturing,United States,217.9583571,255.0112778
Bank V,Manufacturing,Other countries,160.2885391,187.5375907
Bank V,"Electricity, gas, steam and air conditioning supply",United Kingdom,4223.485647,4941.478207
Bank V,"Electricity, gas, steam and air conditioning supply",Republic of Ireland,25.46511924,29.79418952
Bank V,"Electricity, gas, steam and air conditioning supply",United States,109.510078,128.1267913
Bank V,"Electricity, gas, steam and air conditioning supply",Other countries,80.53469777,94.22559639
Bank V,Water supply,United Kingdom,3077.802343,3601.028742
Bank V,Water supply,Republic of Ireland,18.55732687,21.71207244
Bank V,Water supply,Other Western Europe,72.14802626,84.41319073
Bank V,Water supply,Other countries,58.6884631,68.66550182
Bank V,Construction,United Kingdom,4780.970861,5593.735907
Bank V,Construction,United States,123.9650222,145.039076
Bank V,Construction,Other countries,91.16499393,106.6630429
Bank V,Wholesale and retail trade,United Kingdom,13395.46693,15672.6963
Bank V,Wholesale and retail trade,Republic of Ireland,80.76673894,94.49708456
Bank V,Wholesale and retail trade,Other countries,255.4288023,298.8516987
Bank V,Transport and storage,United Kingdom,5343.109541,6251.438163
Bank V,Transport and storage,Republic of Ireland,32.2157888,37.6924729
Bank V,Transport and storage,Other Western Europe,125.2500208,146.5425243
Bank V,Transport and storage,United States,138.5406254,162.0925317
Bank V,Accomodation and food service activities,Other Western Europe,113.2289859,132.4779135
Bank V,Accomodation and food service activities,United States,125.2440073,146.5354885
Bank V,Accomodation and food service activities,Other countries,92.10557105,107.7635181
Bank V,Information and communication,United Kingdom,4602.277771,5384.664992
Bank V,Information and communication,Republic of Ireland,27.74901161,32.46634358
Bank V,Information and communication,Other Western Europe,107.8838796,126.2241391
Bank V,Information and communication,United States,119.3317179,139.6181099
Bank V,Real estate activities,Other Western Europe,468.7330947,548.4177208
Bank V,Real estate activities,United States,518.4715792,606.6117476
Bank V,Real estate activities,Other countries,381.2886694,446.1077432
Bank V,"Professional, scientific and technical activities",United Kingdom,3546.871706,4149.839896
Bank V,"Professional, scientific and technical activities",Republic of Ireland,21.38553756,25.02107894
Bank V,"Professional, scientific and technical activities",Other Western Europe,83.14367344,97.27809793
Bank V,"Professional, scientific and technical activities",United States,91.96626429,107.6005292
Bank V,"Professional, scientific and technical activities",Other countries,67.63281913,79.13039838
Bank V,Administrative and support service activities,United Kingdom,6674.000787,7808.580921
Bank V,Administrative and support service activities,Republic of Ireland,40.24027548,47.08112231
Bank V,Administrative and support service activities,Other Western Europe,156.447988,183.044146
Bank V,Administrative and support service activities,United States,173.0490898,202.4674351
Bank V,Administrative and support service activities,Other countries,127.2618593,148.8963754
Bank V,"Public administration and defense, compulsory social security",United Kingdom,135.8812041,158.9810089
Bank V,"Public administration and defense, compulsory social security",United States,3.523241823,4.122192932
Bank V,"Public administration and defense, compulsory social security",Other countries,2.591023771,3.031497813
Bank V,Education,United Kingdom,497.9208508,582.5673955
Bank V,Education,Republic of Ireland,3.002168091,3.512536666
Bank V,Education,Other Western Europe,11.67196675,13.6562011
Bank V,Education,United States,12.91050942,15.10529602
Bank V,Education,Other countries,9.494504916,11.10857075
Bank V,Human health services and social work activities,United Kingdom,4112.733158,4811.897795
Bank V,Human health services and social work activities,United States,106.6383946,124.7669217
Bank V,Human health services and social work activities,Other countries,78.42283593,91.75471804
Bank V,"Arts, entertainment and recreation",United Kingdom,1259.227871,1473.296609
Bank V,"Arts, entertainment and recreation",Republic of Ireland,7.592398929,8.883106747
Bank V,"Arts, entertainment and recreation",Other Western Europe,29.51807667,34.5361497
Bank V,"Arts, entertainment and recreation",United States,32.65031634,38.20087012
Bank V,Other services,Other Western Europe,20.46412115,23.94302174
Bank V,Other services,United States,22.63562212,26.48367788
Bank V,Other services,Other countries,16.64644039,19.47633526
Bank U,"Agriculture, forestry and fishing",United Kingdom,85.31082803,99.81366879
Bank U,"Agriculture, forestry and fishing",Jersey,0.040127389,0.046949045
Bank U,"Agriculture, forestry and fishing",Guernsey,0.080254777,0.093898089
Bank U,"Agriculture, forestry and fishing",Ireland,0.040127389,0.046949045
Bank U,Mining and quarrying,Guernsey,0.040764331,0.047694268
Bank U,Mining and quarrying,Ireland,0.020382166,0.023847134
Bank U,Mining and quarrying,Other countries,20.58598726,24.0856051
Bank U,Manufacturing,United Kingdom,517.2815287,605.2193885
Bank U,Manufacturing,Jersey,0.243312102,0.284675159
Bank U,Manufacturing,Guernsey,0.486624204,0.569350318
Bank U,"Electricity, gas, steam and air conditioning supply",Other countries,86.20382166,100.8584713
Bank U,Water supply,United Kingdom,65.67579618,76.84068153
Bank U,Water supply,Jersey,0.03089172,0.036143312
Bank U,Water supply,Guernsey,0.061783439,0.072286624
Bank U,Water supply,Ireland,0.03089172,0.036143312
Bank U,Water supply,Other countries,31.20063694,36.50474522
Bank U,Construction,United Kingdom,726.4961783,850.0005287
Bank U,Construction,Jersey,0.341719745,0.399812102
Bank U,Wholesale and retail trade,Ireland,0.630573248,0.737770701
Bank U,Wholesale and retail trade,Other countries,636.8789809,745.1484076
Bank U,Transport and storage,United Kingdom,176.0382166,205.9647134
Bank U,Transport and storage,Jersey,0.082802548,0.096878981
Bank U,Transport and storage,Guernsey,0.165605096,0.193757962
Bank U,Transport and storage,Ireland,0.082802548,0.096878981
Bank U,Transport and storage,Other countries,83.63057325,97.8477707
Bank U,Accomodation and food service activities,United Kingdom,916.7528662,1072.600854
Bank U,Accomodation and food service activities,Jersey,0.431210191,0.504515924
Bank U,Accomodation and food service activities,Guernsey,0.862420382,1.009031847
Bank U,Information and communication,Guernsey,0.252866242,0.295853503
Bank U,Information and communication,Ireland,0.126433121,0.147926752
Bank U,Information and communication,Other countries,127.6974522,149.4060191
Bank U,Real estate activities,United Kingdom,5921.654777,6928.336089
Bank U,Real estate activities,Jersey,2.785350318,3.258859873
Bank U,Real estate activities,Guernsey,5.570700637,6.517719745
Bank U,Real estate activities,Ireland,2.785350318,3.258859873
Bank U,Real estate activities,Other countries,2813.203822,3291.448471
Bank U,"Professional, scientific and technical activities",United Kingdom,875.4515924,1024.278363
Bank U,"Professional, scientific and technical activities",Jersey,0.411783439,0.481786624
Bank U,"Professional, scientific and technical activities",Guernsey,0.823566879,0.963573248
Bank U,"Professional, scientific and technical activities",Ireland,0.411783439,0.481786624
Bank U,"Professional, scientific and technical activities",Other countries,415.9012739,486.6044904
Bank U,Administrative and support service activities,United Kingdom,559.2598726,654.334051
Bank U,"Public administration and defense, compulsory social security",Guernsey,0.004458599,0.005216561
Bank U,"Public administration and defense, compulsory social security",Ireland,0.002229299,0.00260828
Bank U,"Public administration and defense, compulsory social security",Other countries,2.251592357,2.634363057
Bank U,Education,United Kingdom,176.7152866,206.7568854
Bank U,Education,Jersey,0.083121019,0.097251592
Bank U,Education,Guernsey,0.166242038,0.194503185
Bank U,Education,Ireland,0.083121019,0.097251592
Bank U,Education,Other countries,83.9522293,98.22410828
Bank U,Human health services and social work activities,United Kingdom,652.0184713,762.8616115
Bank U,Human health services and social work activities,Ireland,0.306687898,0.358824841
Bank U,Human health services and social work activities,Other countries,309.7547771,362.4130892
Bank U,"Arts, entertainment and recreation",United Kingdom,146.9242038,171.9013185
Bank U,"Arts, entertainment and recreation",Jersey,0.06910828,0.080856688
Bank U,"Arts, entertainment and recreation",Guernsey,0.138216561,0.161713376
Bank U,"Arts, entertainment and recreation",Ireland,0.06910828,0.080856688
Bank U,Other services,Ireland,0.083121019,0.097251592
Bank U,Other services,Other countries,83.9522293,98.22410828
Bank W,Construction,United Kingdom,561.9269232,657.4545001
Bank W,Construction,Australia,0.320654731,0.375166035
Bank W,Construction,Canada,1.581575215,1.850443001
Bank W,Construction,Denmark,0.024109378,0.028207973
Bank W,Construction,Finland,0.05545157,0.064878337
Bank W,Construction,France,0.344764109,0.403374008
Bank W,Construction,Germany,0.137423456,0.160785444
